taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,284360,URMA_WRITE,7,0ns,0,,0.0,5.89638,0.001,5.9001,385.8096
1,1,2,284360,URMA_WRITE,7,0ns,1,,0.0,5.89638,0.001,5.9001,385.8096
2,2,3,3412315,URMA_WRITE,7,0ns,2,,0.0,69.73432,0.001,69.73756,391.4646
3,3,0,349526,URMA_WRITE,7,0ns,3,,0.0,12.14996,0.001,12.15286,230.1413
4,4,5,284360,URMA_WRITE,7,0ns,4,,0.0,5.89638,0.001,5.9001,385.8096
5,5,6,284360,URMA_WRITE,7,0ns,5,,0.0,5.89638,0.001,5.9001,385.8096
6,6,7,3412315,URMA_WRITE,7,0ns,6,,0.0,69.73432,0.001,69.73756,391.4646
7,7,4,349526,URMA_WRITE,7,0ns,7,,0.0,12.14996,0.001,12.15286,230.1413
8,8,9,284360,URMA_WRITE,7,0ns,8,,0.0,5.89638,0.001,5.9001,385.8096
9,9,10,284359,URMA_WRITE,7,0ns,9,,0.0,5.89636,0.001,5.90008,385.8096
10,10,11,3412315,URMA_WRITE,7,0ns,10,,0.0,69.73432,0.001,69.73756,391.4646
11,11,8,349525,URMA_WRITE,7,0ns,11,,0.0,12.14996,0.001,12.15286,230.1407
12,12,13,284359,URMA_WRITE,7,0ns,12,,0.0,5.89636,0.001,5.90008,385.8096
13,13,14,284359,URMA_WRITE,7,0ns,13,,0.0,5.89636,0.001,5.90008,385.8096
14,14,15,3412315,URMA_WRITE,7,0ns,14,,0.0,69.73432,0.001,69.73756,391.4646
15,15,12,349525,URMA_WRITE,7,0ns,15,,0.0,12.14996,0.001,12.15286,230.1407
16,0,2,284360,URMA_WRITE,7,0ns,16,,0.0,5.89638,0.001,5.9001,385.8096
17,1,3,3412315,URMA_WRITE,7,0ns,17,,0.0,69.73432,0.001,69.73756,391.4646
18,2,0,284360,URMA_WRITE,7,0ns,18,,0.0,5.89638,0.001,5.9001,385.8096
19,3,1,349526,URMA_WRITE,7,0ns,19,,0.0,12.14996,0.001,12.15286,230.1413
20,4,6,284360,URMA_WRITE,7,0ns,20,,0.0,5.89638,0.001,5.9001,385.8096
21,5,7,3412315,URMA_WRITE,7,0ns,21,,0.0,69.73432,0.001,69.73756,391.4646
22,6,4,284360,URMA_WRITE,7,0ns,22,,0.0,5.89638,0.001,5.9001,385.8096
23,7,5,349525,URMA_WRITE,7,0ns,23,,0.0,12.14996,0.001,12.15286,230.1407
24,8,10,284359,URMA_WRITE,7,0ns,24,,0.0,5.89638,0.001,5.90008,385.8082
25,9,11,3412315,URMA_WRITE,7,0ns,25,,0.0,69.73432,0.001,69.73756,391.4646
26,10,8,284360,URMA_WRITE,7,0ns,26,,0.0,5.89636,0.001,5.9001,385.8109
27,11,9,349525,URMA_WRITE,7,0ns,27,,0.0,12.14996,0.001,12.15286,230.1407
28,12,14,284359,URMA_WRITE,7,0ns,28,,0.0,5.89636,0.001,5.90008,385.8096
29,13,15,3412315,URMA_WRITE,7,0ns,29,,0.0,69.73432,0.001,69.73756,391.4646
30,14,12,284359,URMA_WRITE,7,0ns,30,,0.0,5.89636,0.001,5.90008,385.8096
31,15,13,349525,URMA_WRITE,7,0ns,31,,0.0,12.14996,0.001,12.15286,230.1407
32,0,3,3412315,URMA_WRITE,7,0ns,32,,0.0,69.73432,0.001,69.73756,391.4646
33,1,0,284360,URMA_WRITE,7,0ns,33,,0.0,5.89638,0.001,5.9001,385.8096
